Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
14.1.3,E 300,Ascorbic acid,quantum satis,,,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 330,Citric acid,5 000,,,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 440,Pectins,3 000,,only pineapple and passion fruit,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 466,"Sodium carboxy methyl cellulose, Cellulose gum",quantum satis,,only traditional Swedish and Finnish fruit syrups from citrus,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 950,Acesulfame K,350,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 951,Aspartame,600,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 952,Cyclamic acid and its Na and Ca salts,250,Maximum usable levels are expressed in free acid,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 954,"Saccharin and its Na, K and Ca salts",80,Maximum usable levels are expressed in free imide,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 955,Sucralose,300,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 959,Neohesperidine DC,30,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 960,Steviol glycosides,100,Expressed as steviol equivalents,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 961,Neotame,20,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.3,E 969,Advantame,6,,only energy-reduced or with no added sugar,Fruit nectars as defined by Directive 2001/112/EC and vegetable nectars and similar products
14.1.4,Group I,Additives,,,"E 420, E 421, E 953, E 965, E 966 and E 967 may not be used
 E 968 may not be used except where specifically provided for in this food category",Flavoured drinks
14.1.4,Group II,Colours at quantum satis,quantum satis,,"excluding chocolate milk and malt products
 Period of application:
 until 31 July 2014",Flavoured drinks
14.1.4,Group II,Colours at quantum satis,quantum satis,Maximum limit for aluminium coming from all aluminium lakes 15 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013,"excluding chocolate milk and malt products
 Period of application:
 from 1 August 2014",Flavoured drinks
14.1.4,Group III,Colours with combined maximum limit,100,The quantities of each of the colours E 122 and E 155 may not exceed 50 mg/kg or mg/l,"excluding chocolate milk and malt products
 Period of application:
 until 31 July 2014",Flavoured drinks
14.1.4,Group III,Colours with combined maximum limit,100,The quantities of each of the colours E 122 and E 155 may not exceed 50 mg/kg or mg/l ; Maximum limit for aluminium coming from all aluminium lakes 15 mg/kg. For the purposes of Article 22 (1): (g) of Regulation (EC) No 1333/2008 that limit shall apply from 1 February 2013,"excluding chocolate milk and malt products
 Period of application:
 from 1 August 2014",Flavoured drinks
14.1.4,E 104,Quinoline Yellow,10,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",excluding chocolate milk and malt products,Flavoured drinks
14.1.4,E 110,Sunset Yellow FCF/Orange Yellow S,20,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",excluding chocolate milk and malt products,Flavoured drinks
14.1.4,E 124,"Ponceau 4R, Cochineal Red A",10,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",excluding chocolate milk and malt products,Flavoured drinks
14.1.4,E 160d,Lycopene,12,,excluding dilutable drinks,Flavoured drinks
14.1.4,E 200-202,Sorbic acid - potassium sorbate,250,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"maximum applies if E 210 - 213, benzoic acid - benzoates, have also been used",Flavoured drinks
14.1.4,E 200-202,Sorbic acid - potassium sorbate,300,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,excluding dairy-based drinks,Flavoured drinks
14.1.4,E 210-213,Benzoic acid - benzoates,150,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,excluding dairy-based drinks,Flavoured drinks
14.1.4,E 220-228,Sulphur dioxide - sulphites,20,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only carry over from concentrates in non-alcoholic flavoured drinks containing fruit juice,Flavoured drinks
14.1.4,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only non-alcoholic flavoured drinks containing at least 235 g/l glucose syrup,Flavoured drinks
14.1.4,E 220-228,Sulphur dioxide - sulphites,350,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only concentrates based on fruit juice and containing not less than 2,5 % barley (barley water)",Flavoured drinks
14.1.4,E 220-228,Sulphur dioxide - sulphites,250,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only other concentrates based on fruit juice or comminuted fruit; capilé, groselha",Flavoured drinks
14.1.4,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",,Flavoured drinks
14.1.4,E 297,Fumaric acid,1 000,,only instant powders for fruit-based drinks,Flavoured drinks
14.1.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",700,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Flavoured drinks
14.1.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",500,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only sport drinks,Flavoured drinks
14.1.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",4 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only whey protein containing sport drinks,Flavoured drinks
14.1.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",20 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only vegetable protein drinks,Flavoured drinks
14.1.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only chocolate and malt dairy-based drinks,Flavoured drinks
14.1.4,E 355-357,Adipic acid - adipates,10 000,The additives may be added individually or in combination,only powders for home preparation of drinks,Flavoured drinks
14.1.4,E 363,Succinic acid,3 000,,only powders for home preparation of drinks,Flavoured drinks
14.1.4,E 405,"Propane-1, 2-diol alginate",300,,,Flavoured drinks
14.1.4,E 423,Octenyl succinic acid modified gum arabic,1 000,only in energy drinks and in drinks containing fruit juice,,Flavoured drinks
14.1.4,E 426,Soybean hemicellulose,5 000,,only dairy-based drinks intended for retail sale,Flavoured drinks
14.1.4,E 444,Sucrose acetate isobutyrate,300,,only cloudy drinks,Flavoured drinks
14.1.4,E 445,Glycerol esters of wood rosins,100,,only cloudy drinks,Flavoured drinks
14.1.4,E 459,Beta-cyclodextrin,500,,only flavoured powdered instant drinks,Flavoured drinks
14.1.4,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,"only aniseed-based, dairy-based, coconut and almond drinks",Flavoured drinks
14.1.4,E 473-474,Sucrose esters of fatty acids - sucroglycerides,10 000,The additives may be added individually or in combination,only powders for the preparation of hot beverages,Flavoured drinks
14.1.4,E 481-482,Sodium and Calcium stearoyl-2-lactylates,2 000,The additives may be added individually or in combination,only powders for the preparation of hot beverages,Flavoured drinks
14.1.4,E 900,Dimethyl polysiloxane,10,,,Flavoured drinks
14.1.4,E 950,Acesulfame K,350,,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 951,Aspartame,600,,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 952,Cyclamic acid and its Na and Ca salts,250,Maximum usable levels are expressed in free acid,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 954,"Saccharin and its Na, K and Ca salts",80,Maximum usable levels are expressed in free imide,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 954,"Saccharin and its Na, K and Ca salts",100,Maximum usable levels are expressed in free imide,only ‘gaseosa’ energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 955,Sucralose,300,,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 959,Neohesperidine DC,30,,"only energy-reduced or with no added sugar, except milk and milk derivative based flavoured drinks",Flavoured drinks
14.1.4,E 959,Neohesperidine DC,50,,"only milk and milk derivative based flavoured drinks, energy-reduced or with no added sugar",Flavoured drinks
14.1.4,E 957,Thaumatin,"0,5",,"only water based flavoured non-alcoholic drinks, as flavour enhancer only",Flavoured drinks
14.1.4,E 960,Steviol glycosides,80,Expressed as steviol equivalents,only energy reduced or with no added sugar,Flavoured drinks
14.1.4,E 961,Neotame,20,,only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 961,Neotame,2,,"only energy-reduced or with no added sugar, as flavour enhancer",Flavoured drinks
14.1.4,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced or with no added sugar,Flavoured drinks
14.1.4,E 968,Erythritol,16 000,,"only energy-reduced or with no added sugars, as flavour enhancer only",Flavoured drinks
14.1.4,E 969,Advantame,6,,only energy reduced or with no added sugar,Flavoured drinks
14.1.4,E 999,Quillaia extract,200,Calculated as anhydrous extract,,Flavoured drinks
14.1.5.1,E 901,"Beeswax, white and yellow",quantum satis,,"only coffee beans, as glazing agent","Coffee, coffee extracts"
14.1.5.1,E 902,Candelilla wax,quantum satis,,"only coffee beans, as glazing agent","Coffee, coffee extracts"
14.1.5.1,E 903,Carnauba wax,200,,"only coffee beans, as glazing agent","Coffee, coffee extracts"
14.1.5.1,E 904,Shellac,quantum satis,,"only coffee beans, as glazing agent","Coffee, coffee extracts"
14.1.5.2,Group I,Additives,,,"excluding unflavoured leaf tea; including flavoured instant coffee; E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used in drinks",Other
14.1.5.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,600,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only liquid tea concentrates and liquid fruit and herbal infusion concentrates,Other
14.1.5.2,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",only liquid tea concentrate,Other
14.1.5.2,E 297,Fumaric acid,1 000,,only instant products for preparation of flavoured tea and herbal infusions,Other
14.1.5.2,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",2 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only coffee-based drinks for vending machines; Instant tea and instant herbal infusions,Other
14.1.5.2,E 355-357,Adipic acid - adipates,10 000,The additives may be added individually or in combination,only powders for home preparation of drinks,Other
14.1.5.2,E 363,Succinic acid,3 000,,only powders for home preparation of drinks,Other
14.1.5.2,E 473-474,Sucrose esters of fatty acids - sucroglycerides,1 000,The additives may be added individually or in combination,only canned liquid coffee,Other
14.1.5.2,E 473-474,Sucrose esters of fatty acids - sucroglycerides,10 000,The additives may be added individually or in combination,only powders for the preparation of hot beverages,Other
14.1.5.2,E 481-482,Sodium and calcium Stearoyl-2-lactylate,2 000,The additives may be added individually or in combination,only powders for the preparation of hot beverages,Other
14.1.5.2,E 491-495,Sorbitan esters,500,The additives may be added individually or in combination,only liquid tea concentrates and liquid fruit and herbal infusion concentrates,Other
14.1.5.2,E 960,Steviol glycosides,30,Expressed as steviol equivalents ; Maximum level applies to the ready-to-drink products (e.g. canned): and their mixes and concentrates after preparation and ready for consumption,"only coffee, tea and herbal infusion beverages, energy-reduced or with no added sugars",Other
14.1.5.2,E 960,Steviol glycosides,30,Expressed as steviol equivalents ; Maximum level applies to the ready-to-drink products (e.g. canned): and their mixes and concentrates after preparation and ready for consumption,"only flavoured instant coffee and instant cappuccino products, energy-reduced or with no added sugars",Other
14.1.5.2,E 960,Steviol glycosides,20,Expressed as steviol equivalents ; Maximum level applies to the ready-to-drink products (e.g. canned): and their mixes and concentrates after preparation and ready for consumption,"only malt-based and chocolate/cappuccino flavoured drinks, energy-reduced or with no added sugars",Other
14.2.1,"E 150a,b,d","Plain caramel, Caustic sulphite caramel and Sulphite ammonia caramel",quantum satis,,,Beer and malt beverages
14.2.1,E 150c,Ammonia caramel,6 000,,,Beer and malt beverages
14.2.1,E 150c,Ammonia caramel,9 500,,"only ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %); Brown ale, porter, stout and old ale",Beer and malt beverages
14.2.1,E 210-213,Benzoic acid - benzoates,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only alcohol-free beer; beer in kegs containing more than 0,5 % added fermentable sugar and/or fruit juices or concentrates",Beer and malt beverages
14.2.1,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only beer in kegs containing more than 0,5 % added fermentable sugar and/or fruit juices or concentrates",Beer and malt beverages
14.2.1,E 220-228,Sulphur dioxide - sulphites,20,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Beer and malt beverages
14.2.1,E 220-228,Sulphur dioxide - sulphites,50,,only beer with a second fermentation in the cask,Beer and malt beverages
14.2.1,E 270,Lactic acid,quantum satis,,,Beer and malt beverages
14.2.1,E 300,Ascorbic acid,quantum satis,,,Beer and malt beverages
14.2.1,E 301,Sodium ascorbate,quantum satis,,,Beer and malt beverages
14.2.1,E 330,Citric acid,quantum satis,,,Beer and malt beverages
14.2.1,E 405,"Propane-1, 2-diol alginate",100,,,Beer and malt beverages
14.2.1,E 414,Gum arabic (acacia gum),quantum satis,,,Beer and malt beverages
14.2.1,E 950,Acesulfame K,350,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 951,Aspartame,600,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 954,"Saccharin and its Na, K and Ca salts",80,Maximum usable levels are expressed in free imide,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 955,Sucralose,250,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 959,Neohesperidine DC,10,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 960,Steviol glycosides,70,Expressed as steviol equivalents,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol.; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 961,Neotame,20,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951","only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 969,Advantame,6,,"only alcohol-free beer or with an alcohol content not exceeding 1,2 % vol; ‘Bière de table/Tafelbier/Table beer’ (original wort content less than 6 %) except for ‘Obergäriges Einfachbier’; Beers with a minimum acidity of 30 milli-equivalents expressed as NaOH; Brown beers of the ‘oud bruin’ type",Beer and malt beverages
14.2.1,E 950,Acesulfame K,25,Maximum usable levels are expressed in free imide,only energy-reduced beer,Beer and malt beverages
14.2.1,E 951,Aspartame,25,,only energy-reduced beer,Beer and malt beverages
14.2.1,E 955,Sucralose,10,,only energy-reduced beer,Beer and malt beverages
14.2.1,E 959,Neohesperidine DC,10,,only energy-reduced beer,Beer and malt beverages
14.2.1,E 961,Neotame,1,,only energy-reduced beer,Beer and malt beverages
14.2.1,E 962,Salt of aspartame-acesulfame,25,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced beer,Beer and malt beverages
14.2.1,E 969,Advantame,"0,5",,only energy-reduced beer,Beer and malt beverages
14.2.1,E 1105,Lysozyme,quantum satis,,"only in beers that will not receive either pasteurisation or sterile filtration
 Period of application:
 From 25 June 2012",Beer and malt beverages
14.2.1,E 1200,Polydextrose,quantum satis,,"Only energy-reduced and low-alcohol beers
 Period of application:
 From 25 June 2012",Beer and malt beverages
14.2.2,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only alcohol-free,"Wine and other products defined by Regulation (EEC) No 1234/2007, and alcohol-free counterparts"
14.2.2,E 210-213,Benzoic acid - benzoates,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only alcohol-free
 Period of application:
 From 19 July 2012","Wine and other products defined by Regulation (EEC) No 1234/2007, and alcohol-free counterparts"
14.2.2,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only alcohol-free,"Wine and other products defined by Regulation (EEC) No 1234/2007, and alcohol-free counterparts"
14.2.2,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",only alcohol-free,"Wine and other products defined by Regulation (EEC) No 1234/2007, and alcohol-free counterparts"
14.2.3,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Cider and perry
14.2.3,Group II,Colours at quantum satis,quantum satis,,excluding cidre bouché,Cider and perry
14.2.3,Group III,Colours with combined maximum limit,200,,excluding cidre bouché,Cider and perry
14.2.3,E 104,Quinoline Yellow,25,The total quantity of E 104 and E 110 and the colours in Group III shall not exceed the maximum listed for Group III,excluding cidre bouché,Cider and perry
14.2.3,E 110,Sunset Yellow FCF/Orange Yellow S,10,The total quantity of E 104 and E 110 and the colours in Group III shall not exceed the maximum listed for Group III,excluding cidre bouché,Cider and perry
14.2.3,E 150a-d,Caramels,quantum satis,,only cidre bouché,Cider and perry
14.2.3,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Cider and perry
14.2.3,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Cider and perry
14.2.3,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable",,Cider and perry
14.2.3,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Cider and perry
14.2.3,E 405,"Propane-1, 2-diol alginate",100,,excluding cidre bouché,Cider and perry
14.2.3,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,The additives may be added individually or in combination,,Cider and perry
14.2.3,E 900,Dimethyl polysiloxane,10,,excluding cidre bouché,Cider and perry
14.2.3,E 950,Acesulfame K,350,,,Cider and perry
14.2.3,E 951,Aspartame,600,,,Cider and perry
14.2.3,E 954,"Saccharin and its Na, K and Ca salts",80,Maximum usable levels are expressed in free imide,,Cider and perry
14.2.3,E 955,Sucralose,50,,,Cider and perry
14.2.3,E 959,Neohesperidine DC,20,,,Cider and perry
14.2.3,E 961,Neotame,20,,,Cider and perry
14.2.3,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",,Cider and perry
14.2.3,E 969,Advantame,6,,,Cider and perry
14.2.3,E 999,Quillaia extract,200,Calculated as anhydrous extract,excluding cidre bouché,Cider and perry
14.2.4,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Fruit wine and made wine
14.2.4,Group II,Colours at quantum satis,quantum satis,,Excluding wino owocowe markowe,Fruit wine and made wine
14.2.4,Group III,Colours with combined maximum limit,200,,Excluding wino owocowe markowe,Fruit wine and made wine
14.2.4,E 104,Quinoline Yellow,20,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Fruit wine and made wine
14.2.4,E 110,Sunset Yellow FCF/Orange Yellow S,10,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Fruit wine and made wine
14.2.4,E 124,"Ponceau 4R, Cochineal Red A",1,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",,Fruit wine and made wine
14.2.4,E 160d,Lycopene,10,,Excluding wino owocowe markowe,Fruit wine and made wine
14.2.4,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Fruit wine and made wine
14.2.4,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Fruit wine and made wine
14.2.4,E 220-228,Sulphur dioxide - sulphites,260,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only made wine,Fruit wine and made wine
14.2.4,E 242,Dimethyl dicarbonate,250,"Ingoing amount, residues not detectable","Only fruit wine, alcohol reduced wine and wino owocowe markowe, wino owocowe wzmocnione, wino owocowe aromatyzowane, wino z soku winogronowego and aromatyzowane wino z soku winogronowego",Fruit wine and made wine
14.2.4,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Fruit wine and made wine
14.2.4,E 353,Metatartaric acid,100,,only made wine and wino z soku winogronowego and aromatyzowane wino z soku winogronowego,Fruit wine and made wine
14.2.4,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,,,Fruit wine and made wine
14.2.4,E 1105,Lysozyme,quantum satis,,only wino z soku winogronowego and aromatyzowane wino z soku winogronowego,Fruit wine and made wine
14.2.5,Group I,Additives,,,"E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used",Mead
14.2.5,Group II,Colours at quantum satis,quantum satis,,,Mead
14.2.5,E 200-202,Sorbic acid - potassium sorbate,200,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,,Mead
14.2.5,E 220-228,Sulphur dioxide - sulphites,200,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Mead
14.2.5,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,,Mead
14.2.5,E 473-474,Sucrose esters of fatty acids - sucroglycerides,5 000,"Ingoing amount, residues not detectable",,Mead
14.2.6,Group I,Additives,,,"except whisky or whiskey; E 420, E421, E 953, E965, E 966, E 967 and E 968 may not be used except in liqueurs",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,Group II,Colours at quantum satis,quantum satis,,"except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,Group III,Colours with combined maximum limit,200,Maximum limit for aluminium coming from aluminium lakes of ,"except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
14.2.6,E 104,Quinoline Yellow,180,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III","except: spirit drinks as defined in Article 5(1) and sales denominations listed in Annex II, paragraphs 1-14 of Regulation (EC) No 110/2008 and spirits (preceded by the name of the fruit) obtained by maceration and distillation, Geist (with the name of the fruit or the raw material used), London Gin, Sambuca, Maraschino, Marrasquino or Maraskino and Mistrà",Spirit drinks as defined in Regulation (EC) No 110/2008
