Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
Bovine milk basic whey protein isolate,Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Milk whey protein isolate’.
Food supplements containing bovine milk basic whey protein isolate shall bear the following statement:
‘This food supplement should not be consumed by infants/children/adolescents under the age of one/three/eighteen (*) years’
(*) Depending on the age group the food supplement is intended for.",,"Authorised on 20 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283. Applicant: Armor Protéines S.A.S., 19 bis, rue de la Libération 35460 Saint-Brice-en- Coglès, France. During the period of data protection the novel food bovine milk basic whey protein isolate is authorised for placing on the market within the Union only by Armor Protéines S.A.S. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Armor Protéines S.A.S. End date of the data protection: 20 November 2023.",
Bovine milk basic whey protein isolate,"Infant formulae as defined in Regulation (EU) No 609/2013
Follow-on formulae as defined in Regulation (EU) No 609/2013
Total diet replacement foods for weight control as defined by Regulation (EU) No 609/2013
Foods for special medical purposes as defined in Regulation (EU) No 609/2013
Food Supplements as defined in Directive 2002/46/EC","30 mg/100 g (powder); 3,9 mg/100 mL (reconstituted); 30 mg/100 g (powder); 4,2 mg/100 mL (reconstituted); 300 mg/day; 30 mg/100 g (powder formula for infants during the first months of life until the introduction of appropriate complementary feeding); 3,9 mg/100 mL (reconstituted formula for infants during the first months of life until the introduction of appropriate complementary feeding); 30 mg/100 g (powder formula for infants when appropriate complementary feeding is introduced); 4,2 mg/100 mL (reconstituted formula for infants when appropriate complementary feeding is introduced); 58 mg/day for young children; 380 mg/day for children and adolescents from 3 to 18 years of age; 610 mg/day for adults; 25 mg/day for infants; 58 mg/day for young children; 250 mg/day for children and adolescents from 3 to 18 years of age; 610 mg/day for adults","The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Milk whey protein isolate’.
Food supplements containing bovine milk basic whey protein isolate shall bear the following statement:
‘This food supplement should not be consumed by infants/children/adolescents under the age of one/three/eighteen (*) years’
(*) Depending on the age group the food supplement is intended for.",,"Authorised on 20 November 2018. This inclusion is based on proprietary scientific evidence and scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283. Applicant: Armor Protéines S.A.S., 19 bis, rue de la Libération 35460 Saint-Brice-en- Coglès, France. During the period of data protection the novel food bovine milk basic whey protein isolate is authorised for placing on the market within the Union only by Armor Protéines S.A.S. unless a subsequent applicant obtains authorisation for the novel food without reference to the proprietary scientific evidence or scientific data protected in accordance with Article 26 of Regulation (EU) 2015/2283 or with the agreement of Armor Protéines S.A.S. End date of the data protection: 20 November 2023.",
Buglossoides arvensis seed oil,Specified food category,Maximum levels of stearidonic acid (STA),The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Dairy products and analogues,250 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Dairy products and analogues,75 mg/100 g for drinks,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Cheese and cheese products,750 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Butter and other fat and oil emulsions including spreads (not for cooking or frying purposes),750 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Breakfast cereals,625 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,"Food supplements as defined in Directive 2002/46/EC, excluding food supplements for infants and young children",500 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,"Foods for special medical purposes as defined in Regulation (EU) No 609/2013, excluding foods for special medical purposes intended for infants and young children",In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Buglossoides arvensis seed oil,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,250 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Refined Buglossoides oil’,,,
Calanus finmarchicus oil,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘oil from Calanus finmarchicus (crustacean)’,,,
Calanus finmarchicus oil,Food supplements as defined in Directive 2002/46/EC,"2,3 g/day",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘oil from Calanus finmarchicus (crustacean)’,,,
Chewing gum base (monomethoxypolyethylene glycol),Specified food category,Maximum levels,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Gum base (including 1,3-butadiene, 2-methyl-homopolymer, maleated, esters with polyethylene glycol mono-Me ether)’ or ‘Gum base (including CAS No: 1246080-53-4)’",,,
Chewing gum base (monomethoxypolyethylene glycol),Chewing gum,8 %,"The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Gum base (including 1,3-butadiene, 2-methyl-homopolymer, maleated, esters with polyethylene glycol mono-Me ether)’ or ‘Gum base (including CAS No: 1246080-53-4)’",,,
Chewing gum base (Methyl vinyl ether-maleic anhydride copolymer),Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Gum base (including methyl vinyl ether-maleic anhydride copolymer)’ or ‘Gum base (including CAS No 9011-16-9)’,,,
Chewing gum base (Methyl vinyl ether-maleic anhydride copolymer),Chewing gum,2 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Gum base (including methyl vinyl ether-maleic anhydride copolymer)’ or ‘Gum base (including CAS No 9011-16-9)’,,,
Chia oil from Salvia hispanica,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia oil (Salvia hispanica)’,,,
Chia oil from Salvia hispanica,Fats and oils,10 %,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia oil (Salvia hispanica)’,,,
Chia oil from Salvia hispanica,Pure chia oil,2 g/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia oil (Salvia hispanica)’,,,
Chia oil from Salvia hispanica,Food Supplements as defined in Directive 2002/46/EC,2 g/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia oil (Salvia hispanica)’,,,
Chia seeds (Salvia hispanica),Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia seeds (Salvia hispanica)’
2.
Pre-packaged Chia (Salvia hispanica) seeds shall carry additional labelling to inform the consumer that the daily intake is no more than 15 g.",,,
Chia seeds (Salvia hispanica),Bread products,5 % (whole or ground chia seeds),"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia seeds (Salvia hispanica)’
2.
Pre-packaged Chia (Salvia hispanica) seeds shall carry additional labelling to inform the consumer that the daily intake is no more than 15 g.",,,
Chia seeds (Salvia hispanica),Baked products,10 % whole chia seeds,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Chia seeds (Salvia hispanica)’
2.
Pre-packaged Chia (Salvia hispanica) seeds shall carry additional labelling to inform the consumer that the daily intake is no more than 15 g.",,,
