FCM substance No,Ref. No,CAS No,Substance name,"Use as additive or polymer production aid
                     (yes/no)","Use as monomer or other starting substance or macromolecule obtained from microbial fermentation
                     (yes/no)","FRF applicable
                     (yes/no)","SML
                     [mg/kg]","SML(T)
                     [mg/kg]
                     (Group restriction No)",Restrictions and specifications,Notes on verification of compliance
767,38510,0136504-96-6,"1,2-bis(3-aminopropyl)ethylenediamine, polymer with N-butyl-2,2,6,6-tetramethyl-4-piperidinamine and 2,4,6-trichloro-1,3,5-triazine",yes,no,no,5,,,
768,34850,0143925-92-2,"amines, bis(hydrogenated tallow alkyl) oxidised",yes,no,no,,,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. Only to be used in: (a) polyolefins at 0,1 % (w/w) concentration and in (b) PET at 0,25 % (w/w) concentration.",'(1)
769,74010,0145650-60-8,"phosphorous acid, bis(2,4-di-tert-butyl-6-methylphenyl) ethyl ester",yes,no,yes,5,,SML expressed as sum of phosphite and phosphate,
770,51700,0147315-50-2,"2-(4,6-diphenyl-1,3,5-triazin-2-yl)-5-(hexyloxy)phenol",yes,no,no,"0,05",,,
771,34650,0151841-65-5,"aluminium hydroxybis [2,2′-methylenebis (4,6-di-tert-butylphenyl) phosphate]",yes,no,no,5,,,
772,47500,0153250-52-3,"N,N′-dicyclohexyl-2,6-naphthalene dicarboxamide",yes,no,no,5,,,
773,38840,0154862-43-8,"bis(2,4-dicumylphenyl)pentaerythritol-diphosphite",yes,no,yes,5,,"SML expressed as sum of the substance itself, its oxidised form bis(2,4-dicumylphenyl)pentaerythritol-phosphate and its hydrolysis product (2,4-dicumylphenol)",
774,95270,0161717-32-4,"2,4,6-tris(tert-butyl)phenyl-2-butyl-2-ethyl-1,3-propanediol phosphite",yes,no,yes,2,,"SML expressed as sum of phosphite, phosphate and the hydrolysis product = TTBP",
775,45705,0166412-78-8,"1,2-cyclohexanedicarboxylic acid, diisononyl ester",yes,no,no,,'(32),,
776,76723,0167883-16-1,"polydimethylsiloxane, 3-aminopropyl terminated, polymer with dicyclohexylmethane-4,4′-diisocyanate",yes,no,no,,,"The fraction with molecular weight below 1 000 Da shall not exceed 1,5 % (w/w)",
777,31542,0174254-23-0,"acrylic acid, methyl ester, telomer with 1-dodecanethiol, C16-C18 alkyl esters",yes,no,no,,,"0,5 % in final product",'(1)
778,71670,0178671-58-4,"pentaerythritol tetrakis (2-cyano-3,3-diphenylacrylate)",yes,no,yes,"0,05",,,
779,39815,0182121-12-6,"9,9-bis(methoxymethyl)fluorene",yes,no,yes,"0,05",,, (2) 
780,81220,0192268-64-7,"poly-[[6-[N-(2,2,6,6-tetramethyl-4-piperidinyl)-n-butylamino]-1,3,5-triazine-2,4-diyl][(2,2,6,6-tetramethyl-4-piperidinyl)imino]-1,6-hexanediyl[(2,2,6,6-tetramethyl-4-piperidinyl)imino]]-α-[N,N,N′,N′-tetrabutyl-N""-(2,2,6,6-tetramethyl-4-piperidinyl)-N""-[6-(2,2,6,6-tetramethyl-4-piperidinylamino)-hexyl]-[1,3,5-triazine-2,4,6-triamine]-ω-N,N,N′,N′-tetrabutyl-1,3,5-triazine-2,4-diamine]",yes,no,no,5,,,
781,95265,0227099-60-7,"1,3,5-tris(4-benzoylphenyl) benzene",yes,no,no,"0,05",,,
782,76725,0661476-41-1,"polydimethylsiloxane, 3-aminopropyl terminated, polymer with 1-isocyanato-3-isocyanatomethyl-3,5,5-trimethylcyclohexane",yes,no,no,,,The fraction with molecular weight below 1 000 Da shall not exceed 1 % (w/w),
783,55910,0736150-63-3,"glycerides, castor-oil mono-, hydrogenated, acetates",yes,no,no,,'(32),,
784,95420,0745070-61-5,"1,3,5-tris (2,2-di-methylpropanamido) benzene",yes,no,no,5,,,
785,24910,0000100-21-0,terephthalic acid,no,yes,no,,'(28),,
786,14627,0000117-21-5,3-chlorophthalic anhydride,no,yes,no,"0,05",,SML expressed as 3-chlorophthalic acid,
787,14628,0000118-45-6,4-chlorophthalic anhydride,no,yes,no,"0,05",,SML expressed as 4-chlorophthalic acid,
788,21498,0002530-85-0,[3-(methacryloxy)propyl]trimethoxysilane,no,yes,no,"0,05",,Only to be used as a surface treatment agent of inorganic fillers,(1) (11)
789,60027,,hydrogenated homopolymers and/or copolymers made of 1-hexene and/or 1-octene and/or 1-decene and/or 1-dodecene and/or 1-tetradecene (Mw: 440-12 000 ),yes,no,no,,,"Average molecular weight not less than 440 Da. Viscosity at 100 °C not less than 3,8 cSt (3,8 × 10-6 m2/s).",'(2)
790,80480,0090751-07-8 0082451-48-7,"poly(6-morpholino-1,3,5-triazine-2,4-diyl)-[(2,2,6,6-tetramethyl-4-piperidyl)imino)] hexa-methylene-[(2,2,6,6-tetramethyl-4-piperidyl)imino)]",yes,no,no,5,,"Average molecular weight not less than 2 400 Da. Residual content of morpholine ≤ 30 mg/kg, of N,N′-bis(2,2,6,6-tetramethylpiperidin-4-yl)hexane-1,6-diamine < 15 000 mg/kg, and of 2,4-dichloro-6-morpholino-1,3,5-triazine ≤ 20 mg/kg.",'(16)
791,92470,0106990-43-6,"N,N′,N″,N″-tetrakis(4,6-bis(N-butyl-(N-methyl-2,2,6,6-tetramethylpiperidin-4-yl)amino)triazin-2-yl)-4,7-diazadecane-1,10-diamine",yes,no,no,"0,05",,,
792,92475,0203255-81-6,"3,3′,5,5′-tetrakis(tert-butyl)-2,2′-dihydroxybiphenyl, cyclic ester with [3-(3-tert-butyl-4-hydroxy-5-methylphenyl)propyl]oxyphosphonous acid",yes,no,yes,5,,SML expressed as the sum of phosphite and phosphate form of the substance and the hydrolysis products,
793,94000,0000102-71-6,triethanolamine,yes,no,no,"0,05",,SML expressed as the sum of triethanolamine and the hydrochloride adduct expressed as triethanolamine,
794,18117,0000079-14-1,glycolic acid,no,yes,no,,,Only to be used for manufacture of polyglycolic acid (PGA) for (i) indirect food contact behind polyesters such as polyethylene terephthalate (PET) or polylactic acid (PLA); and (ii) direct food contact of a blend of PGA up to 3 % w/w in PET or PLA.,
795,40155,0124172-53-8,"N,N′-bis(2,2,6,6-tetramethyl-4-piperidyl)-N,N′-diformylhexamethylenediamine",yes,no,no,"0,05",,,(2) (12)
796,72141,0018600-59-4,"2,2′-(1,4-phenylene)bis[4H-3,1-benzoxazin-4-one]",yes,no,yes,"0,05",,SML including the sum of its hydrolysis products,
797,76807,0073018-26-5,"polyester of adipic acid with 1,3-butanediol, 1,2-propanediol and 2-ethyl-1-hexanol",yes,no,yes,,(31) (32),,
798,92200,0006422-86-2,"terephthalic acid, bis(2-ethylhexyl)ester",yes,no,no,60,'(32),,
799,77708,,polyethyleneglycol (EO = 1-50) ethers of linear and branched primary (C8-C22) alcohols,yes,no,no,"1,8",,In compliance with the maximum ethylene oxide content as laid down in the purity criteria for food additives in Commission Regulation (EU) No 231/2012.,
800,94425,0000867-13-0,triethyl phosphonoacetate,yes,no,no,,,Only for use in PET,
801,30607,,"acids, C2-C24, aliphatic, linear, monocarboxylic, from natural oils and fats, lithium salt",yes,no,no,,,,
802,33105,0146340-15-0,"alcohols, C12-C14 secondary, β-(2-hydroxyethoxy), ethoxylated",yes,no,no,5,,,'(12)
803,33535,0152261-33-1,"α-alkenes(C20-C24) copolymer with maleic anhydride, reaction product with 4-amino-2,2,6,6-tetramethylpiperidine",yes,no,no,,,Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. Not to be used in contact with alcoholic foods.,'(13)
804,80510,1010121-89-7,"poly(3-nonyl-1,1-dioxo-1-thiopropane-1,3-diyl)-block-poly(x-oleyl-7-hydroxy-1,5-diiminooctane-1,8-diyl), process mixture with x = 1 and/or 5, neutralised with dodecylbenzenesulfonic acid",yes,no,no,,,"Only to be used as polymer production aid in polyethylene (PE), polypropylene (PP) and polystyrene (PS)",
805,93450,,"titanium dioxide, coated with a copolymer of n-octyltrichlorosilane and [aminotris(methylenephosphonic acid), penta sodium salt]",yes,no,no,,,The content of the surface treatment copolymer of the coated titanium dioxide is less than 1 % w/w,
806,14876,0001076-97-7,"1,4-cyclohexanedicarboxylic acid",no,yes,no,5,,Only to be used for manufacture of polyesters,
807,93485,,"titanium nitride, nanoparticles",yes,no,no,,,"No migration of titanium nitride nanoparticles. Only to be used in polyethylene terephthalate (PET) up to 20 mg/kg. In the PET, the agglomerates have a diameter of 100-500 nm consisting of primary titanium nitride nanoparticles; primary particles have a diameter of approximately 20 nm.",
808,38550,0882073-43-0,bis(4-propylbenzylidene)propylsorbitol,yes,no,no,5,,SML including the sum of its hydrolysis products,
809,49080,0852282-89-4,"N-(2,6-diisopropylphenyl)-6-[4-(1,1,3,3-tetramethylbutyl)phenoxy]-1H-benzo[de]isoquinolin-1,3(2H)-dione",yes,no,yes,"0,05",,Only for use in PET,(6) (14) (15)
810,68119,,"neopentyl glycol, diesters and monoesters with benzoic acid and 2-ethylhexanoic acid",yes,no,no,5,'(32),Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down.,
811,80077,0068441-17-8,"polyethylene waxes, oxidised",yes,no,no,60,,,
812,80350,0124578-12-7,poly(12-hydroxystearic acid)-polyethyleneimine copolymer,yes,no,no,,,"Only to be used in plastics up to 0,1 % w/w. Prepared by the reaction of poly(12-hydroxystearic acid) with polyethyleneimine.",
813,91530,,"sulphosuccinic acid alkyl (C4-C20) or cyclohexyl diesters, salts",yes,no,no,5,,,
814,91815,,"sulphosuccinic acid monoalkyl (C10-C16) polyethyleneglycol esters, salts",yes,no,no,2,,,
815,94985,,"trimethylolpropane, mixed triesters and diesters with benzoic acid and 2-ethylhexanoic acid",yes,no,no,5,'(32),Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down,
816,45704,,"cis-1,2-cyclohexanedicarboxylic acid, salts",yes,no,no,5,,,
817,38507,,"cis-endo-bicyclo[2.2.1]heptane-2,3-dicarboxylic acid, salts",yes,no,no,5,,Not to be used with polyethylene in contact with acidic foods. Purity ≥ 96 %.,
818,21530,,"methallylsulphonic acid, salts",no,yes,no,5,,,
819,68110,,"neodecanoic acid, salts",yes,no,no,"0,05",,Not to be used in polymers contacting fatty foods. Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. SML expressed as neodecanoic acid.,
820,76420,,"pimelic acid, salts",yes,no,no,,,,
821,90810,,"stearoyl-2-lactylic acid, salts",yes,no,no,,,,
822,71938,,"Perchloric acid, salts",yes,no,no,"0,002",,,'(4)
823,24889,,"5-Sulphoisophthalic acid, salts",no,yes,no,5,,,
854,71943,0329238-24-6,"perfluoro acetic acid, α-substituted with the copolymer of perfluoro-1,2-propylene glycol and perfluoro-1,1-ethylene glycol, terminated with chlorohexafluoropropyloxy groups",yes,no,no,,,"Only to be used in concentrations up to 0,5 % w/w in the polymerisation of fluoropolymers that are processed at temperatures at or above 340 °C and are intended for use in repeated use articles",
855,40560,,"(butadiene, styrene, methyl methacrylate) copolymer cross-linked with 1,3-butanediol dimethacrylate",yes,no,no,,,Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 12 % at room temperature or below.,
856,40563,25101-28-4,"(butadiene, styrene, methyl methacrylate, butyl acrylate) copolymer cross-linked with divinylbenzene or 1,3-butanediol dimethacrylate",yes,no,no,,,"Only to be used in: - rigid poly(vinyl chloride) (PVC) at a maximum level of 12 % at room temperature or below; or - at up to 40 % w/w in blends of styrene acrylonitrile copolymer (SAN)/poly(methyl methacrylate) (PMMA) repeat-use articles at room temperature or below, and when either in contact only with aqueous, acidic and/or low alcoholic (< 20 %) foodstuffs for less than 1 day, or when in contact only with dry foodstuffs for any duration of time.",
857,66765,0037953-21-2,"(methyl methacrylate, butyl acrylate, styrene, glycidyl methacrylate) copolymer",yes,no,no,,,Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 2 % at room temperature or below.,
858,38565,0090498-90-1,"3,9-bis[2-(3-(3-tert-butyl-4-hydroxy-5-methylphenyl)propionyloxy)-1,1-dimethylethyl]-2,4,8,10-tetraoxaspiro[5,5]undecane",yes,no,yes,"0,05",,"SML expressed as the sum of the substance and its oxidation product 3-[(3-(3-tert-butyl-4-hydroxy-5-methylphenyl)prop-2-enoyloxy)-1,1-dimethylethyl]-9-[(3-(3-tert-butyl-4-hydroxy-5-methylphenyl)propionyloxy)-1,1-dimethylethyl]-2,4,8,10-tetraoxaspiro[5,5]-undecane in equilibrium with its para quinone methid tautomer.",'(2)
859,,,"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with divinylbenzene, in nanoform",yes,no,no,,,"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long-term storage. When used together with the substance with FCM No 998 and/or the substance with FCM No 1043, the restriction of 10 % w/w applies to the sum of those substances. The diameter of particles shall be > 20 nm, and for at least 95 % by number it shall be > 40 nm.",
860,71980,0051798-33-5,perfluoro[2-(poly(n-propoxy))propanoic acid],yes,no,no,,,Only to be used in the polymerisation of fluoropolymers that are processed at temperatures at or above 265 °C and are intended for use in repeated use articles,
861,71990,0013252-13-6,perfluoro[2-(n-propoxy)propanoic acid],yes,no,no,,,Only to be used in the polymerisation of fluoropolymers that are processed at temperatures at or above 265 °C and are intended for use in repeated use articles,
862,15180,0018085-02-4,"3,4-diacetoxy-1-butene",no,yes,no,"0,05",,"SML including the hydrolysis product 3,4-dihydroxy-1-butene Only to be used as a co-monomer for ethylvinylalcohol (EVOH) and polyvinylalcohol (PVOH) copolymers.",(17) (19)
863,15260,0000646-25-3,"1,10-decanediamine",no,yes,no,"0,05",,"Only to be used as a co-monomer for manufacturing polyamide articles for repeated use in contact with aqueous, acidic and dairy foodstuffs at room temperature or for short term contact up to 150 °C.",
864,46330,0000056-06-4,"2,4-diamino-6-hydroxypyrimidine",yes,no,no,5,,Only to be used in rigid poly(vinyl chloride) (PVC) in contact with non-acidic and non-alcoholic aqueous food,
865,40619,0025322-99-0,"(butyl acrylate, methyl methacrylate, butyl methacrylate) copolymer",yes,no,no,,,Only to be used in: (a) rigid poly(vinyl chloride) (PVC) at a maximum level of 1 % w/w; (b) polylactic acid (PLA) at a maximum level of 5 % w/w.,
866,40620,,"(butyl acrylate, methyl methacrylate) copolymer, cross-linked with allyl methacrylate",yes,no,no,,,Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 7 %,
867,40815,0040471-03-2,"(butyl methacrylate, ethyl acrylate, methyl methacrylate) copolymer",yes,no,no,,,Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 2 %,
868,53245,0009010-88-2,"(ethyl acrylate, methyl methacrylate) copolymer",yes,no,no,,,Only to be used in: (a) rigid poly(vinyl chloride) (PVC) at a maximum level of 2 % w/w; (b) polylactic acid (PLA) at a maximum level of 5 % w/w; (c) polyethylene terephthalate (PET) at a maximum level of 5 % w/w.,
869,66763,0027136-15-8,"(butyl acrylate, methyl methacrylate, styrene) copolymer",yes,no,no,,,Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 3 %,
870,95500,0160535-46-6,"N,N′,N″-tris(2-methylcyclohexyl)-1,2,3-propane-tricarboxamide",yes,no,no,5,,,
871,,0287916-86-3,"dodecanoic acid, 12-amino-, polymer with ethene, 2,5-furandione, α-hydro-ω-hydroxypoly (oxy-1,2-ethanediyl) and 1-propene",yes,no,no,,,"Only to be used in polyolefins at levels of up to 20 weight %. These polyolefins shall only be used in contact with foods for which Table 2 of Annex III assigns food simulant E, at ambient temperature or below, and when migration of the total oligomeric fraction of less than 1 000 Da does not exceed 50 μg/kg food.",'(23)
872,,0006607-41-6,"2-phenyl-3,3-bis(4-hydroxyphenyl)phthalimidine",no,yes,no,"0,05",,To be used only as a co-monomer in polycarbonate copolymers,'(20)
873,93460,,titanium dioxide reacted with octyltriethoxysilane,yes,no,no,,,"Reaction product of titanium dioxide with up to 2 % w/w surface treatment substance octyltriethoxysilane, processed at high temperatures.",
874,16265,0156065-00-8,"α-dimethyl-3-(4’-hydroxy-3’-methoxyphenyl)propylsilyloxy, ω-3-dimethyl-3-(4’-hydroxy-3’-methoxyphenyl)propylsilyl polydimethylsiloxane",no,yes,no,"0,05",'(33),Only to be used as comonomer in siloxane modified polycarbonate. The oligomeric mixture shall be characterised by the formula C24H38Si2O5(SiOC2H6)n (50 > n ≥ 26).,
875,80345,0058128-22-6,poly(12-hydroxystearic acid) stearate,yes,no,yes,5,,,
878,31335,,"acids, fatty (C8-C22) from animal or vegetable fats and oils, esters with branched alcohols, aliphatic, monohydric, saturated, primary (C3-C22)",yes,no,no,,,,
879,31336,,"acids, fatty (C8-C22) from animal or vegetable fats and oils, esters with alcohols, linear, aliphatic, monohydric, saturated, primary (C1-C22)",yes,no,no,,,,
880,31348,,"acids, fatty (C8-C22), esters with pentaerythritol'",yes,no,no,,,,
881,25187,0003010-96-6,"2,2,4,4-tetramethylcyclobutane-1,3-diol",no,yes,no,5,,"Only for: (a) repeated use articles for long term storage at room temperature or below and hotfill; (b) single use materials and articles as a co-monomer at a maximum use level of 35 mole % of the diol component of polyesters, and if such materials and articles are for long term storage at room temperature or below of food types which have an alcohol content of up to 10 % and for which Table 2 of Annex III does not assign simulant D2. Hot fill conditions are allowed for such single use materials and articles.",
882,25872,0002416-94-6,"2,3,6-trimethylphenol",no,yes,no,"0,05",,,
883,22074,0004457-71-0,"3-methyl-1,5-pentanediol",no,yes,no,"0,05",,"Only to be used in materials in contact with food at a surface to mass ratio up to 0,5 dm2/kg",
884,34240,0091082-17-6,"alkyl(C10-C21)sulphonic acid, esters with phenol",yes,no,no,"0,05",,Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down.,
885,45676,0263244-54-8,cyclic oligomers of (butylene terephthalate),yes,no,no,,,"Only to be used in poly(ethylene terephthalate) (PET), poly(butylene terephthalate) (PBT), polycarbonate (PC), polystyrene (PS) and rigid poly(vinyl chloride) (PVC) plastics in concentrations up to 1 % w/w, in contact with aqueous, acidic and alcoholic foods, for long term storage at room temperature.",
894,93360,0016545-54-3,"thiodipropionic acid, ditetradecyl ester",yes,no,no,,'(14),,
895,47060,0171090-93-0,"3-(3,5-di-tert-butyl-4-hydroxyphenyl)propanoic acid, esters with C13-C15 branched and linear alcohols",yes,no,no,"0,05",,Only to be used in polyolefins in contact with foods other than fatty/high-alcoholic and dairy products.,
896,71958,0958445-44-8,"3H-perfluoro-3-[(3-methoxy-propoxy)propanoic acid], ammonium salt",yes,no,no,,,"Only to be used in the polymerisation of fluoropolymers when: - processed at temperatures higher than 280 °C for at least 10 minutes, - processed at temperatures higher than 190 °C up to 30 % w/w for use in blends with polyoxymethylene polymers and intended for repeated use articles.",
902,,0000128-44-9,"1,2-benzisothiazol-3(2H)-one 1,1-dioxide, sodium salt",yes,no,no,,,The substance shall comply with the specific purity criteria as set out in Commission Regulation (EU) No 231/2012 (8).,
903,,37486-69-4,"2H-perfluoro-[(5,8,11,14-tetramethyl)-tetraethyleneglycol ethyl propyl ether]",yes,no,no,,,Only to be used as a polymer production aid in the polymerisation of fluoropolymers intended for: (a) repeated and single use materials and articles when sintered or processed (non-sintered) at temperatures at or above 360 °C for at least 10 minutes or at higher temperatures for equivalent shorter times; (b) repeated use materials and articles when processed (non-sintered) at temperatures from 300 °C and up to 360 °C for at least 10 minutes.,
923,39150,0000120-40-1,"N,N-bis(2-hydroxyethyl)dodecanamide",yes,no,no,5,,"The residual amount of diethanolamine in plastics, as an impurity and decomposition product of the substance, shall not result in a migration of diethanolamine higher than 0,3 mg/kg food.",'(18)
924,94987,,"trimethylolpropane, mixed triesters and diesters with n-octanoic and n-decanoic acids",yes,no,no,"0,05",,"Only for use in PET in contact with all types of foods other than fatty, high-alcoholic and dairy products.",
926,71955,0908020-52-0,"perfluoro[(2-ethyloxy-ethoxy)acetic acid], ammonium salt",yes,no,no,,,Only to be used in the polymerisation of fluoropolymers that are processed at temperatures higher than 300 °C for at least 10 minutes.,
969,,24937-78-8,ethylene-vinyl acetate copolymer wax,yes,no,no,,,Only to be used as a polymeric additive up to 2 % w/w in polyolefins. The migration of low molecular weight oligomeric fraction below 1 000 Da shall not exceed 5 mg/kg food.,
971,25885,0002459-10-1,trimethyl trimellitate,no,yes,no,,,"Only to be used as a co-monomer up to 0,35 % w/w to produce modified polyesters intended to be used in contact with aqueous and dry foodstuffs containing no free fat at the surface.",'(17)
972,45197,0012158-74-6,copper hydroxide phosphate,yes,no,no,,,,
973,22931,0019430-93-4,(perfluorobutyl)ethylene,no,yes,no,,,"Only to be used as a co-monomer up to 0,1 % w/w in the polymerisation of fluoropolymers, sintered at high temperatures.",
974,74050,939402-02-5,"phosphorous acid, mixed 2,4-bis(1,1- dimethylpropyl)phenyl and 4-(1,1- dimethylpropyl)phenyl triesters",yes,no,yes,10,,"SML expressed as the sum of the phosphite and phosphate forms of the substance, 4-tert-amylphenol and 2,4-di-tert-amylphenol. The migration of 2,4-di-tert- amylphenol shall not exceed 1 mg/kg food.",
979,79987,,"(polyethylene terephthalate, hydroxylated polybutadiene, pyromellitic anhydride) copolymer",yes,no,no,,,Only to be used in polyethylene terephthalate (PET) at a maximum level of 5 % w/w.,
988,,3634-83-1,"1,3-bis(isocyanatomethyl)benzene",no,yes,no,,'(34),"SML(T) applies to the migration of its hydrolysis product, 1,3-benzenedimethanamine To be used only as co-monomer in the manufacture of a middle layer coating on a poly(ethylene terephthalate) polymer film in a multilayer film",
998,,,"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer not cross-linked, in nanoform",yes,no,no,,,"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long-term storage. When used together with the substance with FCM No 859 and/or the substance with FCM No 1043, the restriction of 10 % w/w applies to the sum of those substances. The diameter of particles shall be > 20 nm, and for at least 95 % by number it shall be > 40 nm.",
1007,,976-56-7,"diethyl[[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]phosphonate",no,yes,no,,,"Only to be used up to 0,2 % w/w based on the final polymer weight in the polymerisation process to manufacture poly(ethylene terephthalate) (PET).",
1016,,,"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",yes,no,no,,,Only to be used up to: (a) 10 % w/w in non-plasticised PVC; (b) 15 % w/w in non-plasticised PLA. The final material shall be used at room temperature or below.,
1017,,25618-55-7,polyglycerol,yes,no,no,,,To be processed under conditions preventing the decomposition of the substance and up to a maximum temperature of 275 °C.,
1030,,,montmorillonite clay modified by dimethyldialkyl(C16-C18)ammonium chloride,yes,no,no,,,"Only to be used up to 12 % (w/w) in polyolefins in contact with dry foods to which simulant E is assigned in table 2 of Annex III at room temperature or below. The sum of the specific migration of 1-chlorohexadecane and 1-chlorooctadecane shall not exceed 0,05 mg/kg food. Can contain platelets in the nanoform that are only in one dimension thinner than 100 nm. Such platelets shall be oriented parallel to the polymer surface and shall be fully embedded in the polymer.",
1031,,3238-40-2,"furan-2,5-dicarboxylic acid",no,yes,no,5,,"Only to be used as a monomer in the production of polyethylene furanoate. The migration of the oligomeric fraction of less than 1 000 Da shall not exceed 50 μg/kg food (expressed as furan-2,5-dicarboxylic acid).",(22) (23)
1034,,3710-30-3,"1,7-octadiene",no,yes,no,"0,05",,"Only to be used as a crosslinking co-monomer in the manufacture of polyolefins for contact with any type of foods for long term storage at room temperature, including when packaged under hot-fill conditions.",
1043,,,"(butadiene, ethyl acrylate, methyl methacrylate, styrene) copolymer crosslinked with 1,3-butanediol dimethacrylate, in nanoform",yes,no,no,,,"Only to be used as particles in non-plasticised PVC up to 10 % w/w in contact with all food types at room temperature or below including long-term storage. When used together with the substance with FCM No 859 and/or the substance with FCM No 998, the restriction of 10 % w/w applies to the sum of those substances. The diameter of particles shall be > 20 nm, and for at least 95 % by number it shall be > 40 nm.",
1045,,1190931-27-1,"perfluoro{acetic acid, 2-[(5-methoxy-1,3-dioxolan-4-yl)oxy]}, ammonium salt",yes,no,no,,,Only to be used as a polymer production aid during the manufacture of fluoropolymers under high temperature conditions of at least 370 °C.,
1046,,,"zinc oxide, nanoparticles, coated with [3-(methacryloxy)propyl] trimethoxysilane (FCM No 788)",yes,no,no,,,Only to be used in unplasticised polymers. The restrictions and specifications specified for FCM substance No 788 shall be respected.,
1048,,624-03-3,ethylene glycol dipalmitate,yes,no,no,,'(2),Only to be used when produced from a fatty acid precursor that is obtained from edible fats or oils.,
1050,,,"zinc oxide, nanoparticles, uncoated",yes,no,no,,,Only to be used in unplasticised polymers.,
1051,,42774-15-2,"N,N′-bis(2,2,6,6-tetramethyl-4-piperidinyl) isophthalamide",yes,no,no,5,,,
1052,,1455-42-1,"2,4,8,10-tetraoxaspiro[5,5]undecane-3,9-diethanol,β3,β3,β9,β9-tetramethyl- (‘SPG’)",no,yes,no,5,,Only to be used as a monomer in the production of polyesters. The migration of oligomers of less than 1 000 Da shall not exceed 50 μg/kg food (expressed as SPG).,(22) (23)
1053,,,"fatty acids, C16-18 saturated, esters with dipentaerythritol",yes,no,no,,,Only to be used when produced from a fatty acid precursor that is obtained from edible fats or oils,
1055,,7695-91-2 58-95-7,α-tocopherol acetate,yes,no,no,,,Only to be used as antioxidant in polyolefins.,'(24)
1059,,147398-31-0,Poly((R)-3-hydroxybutyrate-co-(R)-3-hydroxyhexanoate),no,yes,no,,'(35),"Only to be used either alone or blended with other polymers in contact with all foods under contact conditions of up to 6 months and/or 6 months and more, at room temperature or below, including hot fill or a short heating up phase. The migration of all oligomers with a molecular weight below 1 000 Da shall not exceed 5,0 mg/kg food.",'(23)
1060,,,ground sunflower seed hulls,yes,no,no,,,Only to be used at room temperature or below in contact with foods for which Table 2 of Annex III assigns food simulant E. The seed hulls shall be obtained from sunflower seeds that are fit for human consumption. The processing temperature of the plastic containing the additive shall not exceed 240 °C.,
1061,,80512-44-3,"2,4,4′-trifluorobenzophenone",no,yes,no,,,"Only to be used as a co-monomer in the manufacture of polyether ether ketone plastics up to 0,3 % w/w of the final material.",
1062,,,mixture composed of 97 % tetraethyl orthosilicate (TEOS) with CAS No 78-10-4 and 3 % hexamethyldisilazane (HMDS) with CAS No 999-97-3,no,yes,no,,,"Only to be used for the production of recycled PET and at up to 0,12 % (w/w).",
1063,,1547-26-8,"2,3,3,4,4,5,5-heptafluoro-1-pentene",no,yes,no,,,"Only to be used together with tetrafluoroethylene and/or ethylene co-monomers to manufacture fluorocopolymers for application as polymer processing aid at up to 0,2 % w/w of the food contact material, and when the low-molecular mass fraction below 1 500 Da in the fluorocopolymer does not exceed 30 mg/kg.",
1064,,39318-18-8,tungsten oxide,yes,no,no,"0,05",,"Stoichiometry: WOn, n = 2,72-2,90",'(25)
1065,,85711-28-0,"mixture of methyl-branched and linear C14-C18 alkanamides, derived from fatty acids",yes,no,no,5,,"Only to be used in the manufacture of articles made of polyolefins, and which do not come into contact with foods for which food simulant D2 is assigned in Table 2 of Annex III.",'(26)
1066,,23985-75-3,"1,2,3,4-tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester",no,yes,no,"0,05",,"Only to be used as a co-monomer in the manufacture of a polyester non-food contact layer in a plastic multilayer material, which is to be used only in contact with foods for which food simulants A, B, C and/or D1 are assigned in Table 2 of Annex III. The specific migration limit in column 8 refers to the sum of the substance and of its dimers (cyclic and open chain).",
